Area,Bedrooms,Bathrooms,House_Age,Parking,Price
1200,2,2,10,1,180000
1500,3,2,8,2,240000
1800,3,3,5,2,310000
2200,4,3,4,2,380000
1400,3,2,12,1,210000
1600,3,2,9,2,260000
2000,4,3,6,2,340000
2500,5,4,3,3,470000
1100,2,1,15,1,160000
1300,2,2,11,1,190000
1700,3,2,7,2,290000
1900,4,3,5,2,330000
2100,4,3,4,2,360000
2400,5,4,2,3,450000
1550,3,2,8,2,250000
1750,3,3,6,2,300000
1950,4,3,5,2,335000
2300,4,4,3,3,420000
1250,2,2,13,1,185000
1450,3,2,10,1,225000
1650,3,,8,2,270000
1850,4,3,6,2,320000
2050,4,3,,2,355000
2250,4,4,4,3,400000
1350,2,2,11,,200000
1550,3,2,9,2,
1750,3,3,7,2,305000
1950,4,3,5,2,340000
2150,4,3,4,2,370000
2350,5,4,3,3,440000
1450,3,2,10,1,225000
1600,3,2,9,2,260000
2000,4,3,6,2,340000
1100,2,1,15,1,160000
2500,5,4,3,3,470000
1800,3,3,5,2,310000
1500,3,2,8,2,240000
2200,4,3,4,2,380000
1700,3,2,7,2,290000
1250,2,2,13,1,185000
